Name,URL,Meta Title,Meta Description,Product Description
Jackery Whole-Home Backup Kit 5000 Plus (20kWh),https://www.jackery.com/products/jackery-whole-home-backup-kit-5000-plus,"
      Jackery Essential Home Backup Kit 5000 Plus - Jackery
","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity &amp; 7200-14400W output supports multiple devices for up to 30 days Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries Always Power Your Essential","
Get up to 30% in Tax Credit >
No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity & 7200-14400W output supports multiple devices for up to 30 days
Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries
Always Power Your Essential Rooms: Smart Transfer Switch Ensures Uninterrupted Power Where It Matters Most, Learn More >

From Indoors to Outdoors: 120V/240V Dual Voltage Enhances Compatibility, Supporting More Loads and More Scenarios
Fully Charged in 1.7 Hours: 4000W Solar Input, 5 Ways to Charge, Never Run Out of Power

Learn more about Jackery Explorer 5000 Plus>


"
Jackery Explorer 5000 Plus Double Kit (10kWh),https://www.jackery.com/products/jackery-explorer-5000-plus-double-kit-10kwh,"
      Jackery Explorer 5000 Plus Double Kit (10kWh)
","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity &amp; 7200-14400W output supports multiple devices for up to 30 days Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries Always Power Your Essential","
Get up to 30% in Tax Credit >
No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity & 7200-14400W output supports multiple devices for up to 30 days

Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries
Always Power Your Essential Rooms: Smart Transfer Switch Ensures Uninterrupted Power Where It Matters Most, Learn More >

From Indoors to Outdoors: 120V/240V Dual Voltage Enhances Compatibility, Supporting More Loads and More Scenarios
Fully Charged in 1.7 Hours: 4000W Solar Input, 5 Ways to Charge, Never Run Out of Power


Learn more about Jackery Explorer 5000 Plus>


"
Jackery SolarSaga 80W Solar Panel (Refurbished),https://www.jackery.com/products/jackery-solarsaga-80w-solar-panel-refurbished,"
      Jackery SolarSaga 80W Solar Panel (Refurbished)
",Ultra Solar Conversion Efficiency of 25% Upgraded Dual-Sided Panels IP68 Waterproof Rating Extensive Compatibility with all Jackery Products World’s First Consumer Photovoltaic (PV) Modules Certified by TÜV SÜD,"
Ultra Solar Conversion Efficiency of 25%
Upgraded Dual-Sided Panels
IP68 Waterproof Rating
Extensive Compatibility with all Jackery Products

World’s First Consumer Photovoltaic (PV) Modules Certified by TÜV SÜD

Warranty Extension: 6 months warranty 
"
Jackery Explorer 700 Plus Portable Power Station (Refurbished),https://www.jackery.com/products/jackery-explorer-700-plus-portable-power-station-refurbished,"
      Jackery Explorer 700 Plus Portable Power Station (Refurbished)
","680Wh Capacity with 1000W Output Multi-mode fast charging: wall charging 1.8H, solar charging 2H (100W*6) Industry-leading safety: Dual chip intelligent protection, double voltage monitoring. Easy to use and quick to assemble Mobile app remote control and monitoring Warranty Extension: 6-months warranty","
680Wh Capacity with 1000W Output
Multi-mode fast charging: wall charging 1.8H, solar charging 2H (100W*6)
Industry-leading safety: Dual chip intelligent protection, double voltage monitoring.
Easy to use and quick to assemble
Mobile app remote control and monitoring
Warranty Extension: 6-months warranty
"
Jackery Explorer 1500 Pro Portable Power Station (Refurbished),https://www.jackery.com/products/jackery-explorer-1500-pro-portable-power-station-refurbished,"
      Jackery Explorer 1500 Pro Portable Power Station (Refurbished)
","More than Fast: The ultra solar charging, more than fast charging experience. Solar charging is reborn with a 2 hour solar charge, supporting maximum 1,400W solar power input and unbelievable 2 hour wall charge (6*200W solar panels). Get ready to explore further with Jackery Solar and more than fast. Ultimate All-round","
More than Fast: The ultra solar charging, more than fast charging experience. Solar charging is reborn with a 2 hour solar charge, supporting maximum 1,400W solar power input and unbelievable 2 hour wall charge (6*200W solar panels). Get ready to explore further with Jackery Solar and more than fast.
Ultimate All-round Safety: Safety is taken to the next level with intelligent BMS and 8 state-of-the art temperature sensors for accurate, safe temp control. A patented multi-duct design provides 30% improved heat dissipation efficiency, generating 100% product safety. The complete safe charging experience has arrived.
1800W Power Charging 8 Devices: Immense power is now ready at your fingertips. The Explorer 1500 Pro features the Dual PD100W design, three 1800W AC charging ports, two USB-C charging ports and one car charger, allowing for fast charging of all household devices and gadgets thinkable.
Strong, Reliable and Durable: The power station is incredibly durable and very long-lasting, with the outer shell having the highest UL requirements, featuring top 94V-0 fireproof material, and passing safety drop standards. Strength and reliability is completely guaranteed.
Power On The GO: Weighing in at just a feather-light 37.4lbs, Jackery’s all-new Explorer 1500 Pro is 20% lighter than similar products with a same capacity. Also, equipped with a foldable handle, making it easy to carry anywhere you desire. Power on the go is here.
6 Months Warranty: If you have any quality problems at all, Jackery is there for you providing all the help you need at any time, allowing the perfect shopping experience.
Due to high demand, the Jackery Explorer 1500 Pro (Refurbished)  is currently sold out! You can opt for the Explorer 1500 Portable Power Station (Refurbished), now available at the best price 
"
Jackery Explorer 1500 Portable Power Station (Refurbished),https://www.jackery.com/products/explorer-1500-portable-power-station-refurbished,"
      Jackery Explorer 1500 Portable Power Station (Refurbished) - Jackery
",Jackery Explorer 1500 portable power station is ideal for outdoor activities & back up for the home. Power up your life with a 1800 wattage + 1534Wh capacity.,"
POWER UP YOUR LIFE: With 1800 wattage and the 1534Wh capacity, the Explorer 1500 will power most of appliances. Solid and practical for devices, power tools, and even larger appliances such as electric stoves, electric microwave ovens, air-conditioners, and refrigerators.
POWER 7 DEVICES SIMULTANEOUSLY: Phones, appliances, and other devices can all be plugged into the Jackery Explorer 1500. The portable generator comes equipped with a variety of outlets to comfortably support your outdoor life or provide relief during the power outage.

OPTIONAL SOLAR POWER: With the 4* SolarSaga 100 solar panels, the Solarpeak™ Technology will boost 30% more recharging efficiency. Upgrade the Explorer onto a Solar Generator 1500 to own the limitless solar power around your home, and other outdoor adventures.

SAFELY DESIGNED AND EASY TO USE: Equipped with Jackery's quality built Battery Management System to ensure the battery's safety level, while optimizing its performance. The One Button design allows an easy use for you to operate, anytime and anywhere - whether for camping, RV, tent, or emergency.
6-month Warranty: Every Refurbished product completes a rigorous refurbishment process that includes full functional testing and is backed by a 6-month warranty.
"
Explorer 290 Plus Portable Power Station (Refurbished),https://www.jackery.com/products/jackery-explorer-290-plus-portable-power-station-refurbished,"
      Explorer 290 Plus Portable Power Station (Refurbished)

        – Jackery","Jackery Explorer 290 Plus is an official product of Jackery specially supplied for Walmart . It is temporarily not selling on the Jackery site. Go to ""Where to Buy"" on the main Jackery menu for a complete list of offline sales channels.","

3 Hours to Full Recharge: Charging by a 65W wall charger and 60W USB-C PD charger simultaneously, the Explorer 290 Plus can be charged to 80% in only 2.5 hours.  You can also recharge the Explorer 290 Plus via a car outlet, or Jackery 100W solar panel.


Portable and Durable: The Explorer 290 Plus portable power station has a user-friendly design, small size, and durable handle, making it lightweight, stylish, and easy to carry. It weighs only 7.1 pounds. You can simply rest assured in outdoor off-grid activities.


Power Your Expectations: Featuring 2* Pure Sine Wave AC outlets, 1* PD 60W USB-C port (input/output supported), 1* fast charge 3.0 port, 1*USB-A port, and 1* DC car port, the power station can recharge itself and charge (up to) 6 devices (e.g.Drones, Macbook, Cameras, etc.) at the same time to satisfy your outdoor needs.


High-Quality MPPT Technology: The Explorer 290 Plus can be quickly recharged from the sun in 5.5 hours with a Jackery 100W solar panel. The integrated MPPT controller enables the solar generator set to operate at its max power point, so that it speeds up the battery recharge, making them ideal portable power kits for tent camping, overland journey and etc.

Reliable and Safe Power: With clean lithium-ion technology, the Explorer 290 Plus is safe, green and eco-friendly. The built-in Battery Management System (BMS) and pure sine wave inverter protect your sensitive devices from damage.



"
Jackery SolarSaga 200W Solar Panel (Refurbished),https://www.jackery.com/products/solarsaga-200w-solar-panel-refurbished,"
      Jackery SolarSaga 200W Solar Panel (Refurbished) - Jackery
","With advanced solar cells, Jackery SolarSaga 200W panels provide conversion efficiency to increase recharging speed. Compatible with all Jackery power stations."," 

Paired with Jackery Explorer 2000 PRO: It takes 2.5 hours to fully charge a Jackery Portable Power Station Explorer 2000 PRO via 6 SolarSaga 200. The portable solar panel is additionally compatible with other Jackery power stations. 
Excellent Conversion Efficiency: Advanced solar cells on the solar panel provides a higher conversion efficiency of up to 24.3%, outperforming comparable solar panels - producing more power under similar conditions.
Instant Setup: With a few seconds to setup, the solar panel stands firmly and securely thanks to its 3 kickstands. The recommended angle ensures optimum absorption of the sunlight, making it the perfect companion for outdoor travel.
Convenient Carrying: A practical carrying bag is included for easy transport. Magnetic pads on the solar panel allow the solar panel to be folded up tightly and carried on your favourite off-grid journeys. 
Built to Last: The ETFE-laminated case ensures the solar panel is durable enough for a prolonged lifespan. Additionally, the IP67 Waterproof Rating allows it to withstand harsh weather.
To connect the SolarSaga with different Explorer portable power stations or other extension functions, please check the accessories it requires.

6-month Warranty: Every Refurbished product completes a rigorous refurbishment process that includes full functional testing and is backed by a 6-month warranty.




"
Solar Generator 2000 v2,https://www.jackery.com/products/solar-generator-2000-v2-series,"
      Solar Generator 2000 v2

        – Jackery","Experience effortless home energy stability with the Jackery Solar Generator 2000 v2. Designed with an instant UPS backup, it ensures your refrigerator and internet stay on during sudden power outages, keeping your home running smoothly and your family connected.","
2042Wh capacity and 2200W output, powering over 1 day of emergency needs.
The smallest, lightest home backup power: 40% smaller, 34% lighter at just 17.9kg.
1.7-hour Emergency Super Charge.
Jackery’s exclusive CTB technology maximizes both space efficiency and safety through its compact honeycomb design.
Quiet, eco-friendly energy with next-gen LiFePO4 battery lasting over 10 years.
ChargeShield 2.0 for advanced protection and efficient charging.
UPS ≤20ms for seamless power backup for computers, network devices, refrigerators, lighting, microwaves, and more.
Smart App Control for easy management and monitoring.


3-year warranty + 2-year extended warranty （applied automatically if purchased from our official website）

"
Jackery Connector,https://www.jackery.com/products/jackery-connector,"
      Jackery Connector
",Compatible with Jackery Explorer 2000 Plus Low-temperature Tolerance at -20°C /-4°F Linking 2 Jackery Explorer 2000 Plus with Jackery Connector will give you a greater choice of output power This adapter is necessary when the Jackery Explorer 2000 Plus is connected to another one Warranty Extension: 3-year warranty + 2,"
Compatible with Jackery Explorer 2000 Plus
Low-temperature Tolerance at -20°C /-4°F
Linking 2 Jackery Explorer 2000 Plus with Jackery Connector will give you a greater choice of output power

This adapter is necessary when the Jackery Explorer 2000 Plus is connected to another one

Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from the official website）


 "
Jackery Solar Generator 300 Plus,https://www.jackery.com/products/jackery-solar-generator-300-plus,"
      Jackery Solar Generator 300 Plus
","Solar Generator 300 Plus offers long-lasting performance with a durable LiFePO4 battery, fast one-hour charging, diverse charging ports, superior safety features, and an extended 5-year warranty. With Ultra-lightweight Solar Panel and a power station, you'll have infinite power for all your outdoor adventure.","
Power on the Go: Weighing only 11 lbs, it's convenient to set up and store with book-sized foldable solar panels
All-around Safety: Max safety featuring 52 protective mechanisms, 12 BMS algorithms, and 4 types of physical protection
Superior Reliability: FCC/CE, UL 94V-0 flame-retardant, Class 9 impact resistant, and UL certified for 300 Plus
Ultra-Fast Charging: Solar charged in only 4 hours
Smart App Control: Easy battery management via Wi-Fi or Bluetooth
Please note that the solar panel cable in this set does not include a USB outlet.
Solar Generator 300 Plus+40W: 3-year warranty + 2-year extended warranty. Solar Saga 100W: 2-year warranty + 1-year extended warranty (automatically applied when purchased from our official website)

"
Jackery 12V Automobile Battery Charging Cable,https://www.jackery.com/products/12v-automobile-battery-charging-cable,"
      Jackery 12V Automobile Battery Charging Cable
",Jackery 12V Automobile Battery Charging Cable,"
Compatible with all Jackery portable power stations. 15-20mins for 40-60Ah battery and 30-40mins for 60-100Ah battery to get fully recharged.
12V/10A Car Battery Charging Cable with Alligator Clips. 16 AWG, 100% copper wire. Insulation protection: NO exposed metal, safety in use. UL certified.
Easy Setup: strong and comfortable handle for easy and direct charge.
Only Suit for 12V/10A Lead-acid Battery, NOT APPLICABLE TO ELECTRIC CAR.
Efficiently charge your car battery through the 12V 10A power from the cigarette lighter port. This accessory requires a longer charging time compared to traditional jump starters, ensuring your car battery gets the optimal charge it needs.
"
Jackery Solar Panel Connector,https://www.jackery.com/products/solar-panel-connector,"
      Jackery solar panel connector
","The Jackery solar panel connector is fitted with 1*male & 3*female solar connectors, can be used to connect to the Solar Generator 2000 Pro power solution for solar extension.","
The solar panel connector is fitted with 1*male & 3*female solar connectors. It can be used to connect to the Solar Generator 3000 Pro / 2000 Pro / 1500 Pro / 1000 Pro / 2000 Plus / 1000 Plus / 700 Plus power solution for solar extension.
The solar panel connector can be used for portable power station, two or three solar panels can be connected in series through this connector. The female connector features a change-over cover so you can switch between two and three solar panels when in use.
Filmed with PC material, the solar panel connector kit is durable that can resist fire and harsh weather, making it suitable for solar connection in any outdoor applications.
"
Jackery DC Extension Cable for Solar Panel,https://www.jackery.com/products/dc-extension-cable-for-solar-panel,"
      Jackery DC Extension Cable for Solar Panel
","WIDE COMPATIBILITY: The 16.4-feet power cable is pliable to fully extend for Jackery’s solar panel and portable power station connection - particularly practical for outdoor applications. BUILT TO LAST: Filmed with PVC material, the cable with a 0.28 inches diameter is flame-retardant and durable that can be used for o","
WIDE COMPATIBILITY: The 16.4-feet power cable is pliable to fully extend for Jackery’s solar panel and portable power station connection - particularly practical for outdoor applications.

BUILT TO LAST: Filmed with PVC material, the cable with a 0.28 inches diameter is flame-retardant and durable that can be used for off-grid adventures.
STABLE POWER TRANSMISSION: The embedded premium copper core produces less resistance, delivering a fast, stable current.
SAFE & RELIABLE: Please avoid usage during rainy days/wet environments.
This DC extension cable is not compatible with the SolarSaga 500X or the SolarSaga 40W mini solar panel. To connect with the SolarSaga 500X, please use the Anderson Extension Cable

"
[Add-on] Battery Pack 2000 Plus,https://www.jackery.com/products/battery-pack-2000-plus,"
      [Add-on] Battery Pack 2000 Plus

        – Jackery",2042.8 Wh Large Capacity Compatible with Jackery Explorer 2000 Plus Pioneering Solar Charging for Expandable Battery Solar Charging in 2 Hours（SolarSaga 200 W X 6 Pcs ） Intelligent BMS with 12 Layers of Protection Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from th,"
2042.8 Wh Large Capacity
Compatible with Jackery Explorer 2000 Plus
Pioneering Solar Charging for Expandable Battery
Solar Charging in 2 Hours（SolarSaga 200 W X 6 Pcs ）
Intelligent BMS with 12 Layers of Protection
Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from the official website) 
"
Jackery Battery Pack 1000 Plus,https://www.jackery.com/products/jackery-battery-pack-1000-plus,"
      Jackery Battery Pack 1000 Plus
",Large Capacity of 1264Wh Durable Lithium Iron Phosphate Battery (LiFePO4) Cycle Life: Maintains over 70% capacity after 4000 cycles Exclusive compatibility with Jackery Explorer 1000 Plus Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from our official website),"
Large Capacity of 1264Wh
Durable Lithium Iron Phosphate Battery (LiFePO4)
Cycle Life: Maintains over 70% capacity after 4000 cycles

Exclusive compatibility with Jackery Explorer 1000 Plus

Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from our official website)
"
Jackery Battery Pack 2000 Plus,https://www.jackery.com/products/jackery-battery-pack-2000-plus,"
      Jackery Battery Pack 2000 Plus
",2042.8 Wh Large Capacity Compatible with Jackery Explorer 2000 Plus Pioneering Solar Charging for Expandable Battery Solar Charging in 2 Hours（SolarSaga 200 W X 6 Pcs ） Intelligent BMS with 12 Layers of Protection Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from ou,"
2042.8 Wh Large Capacity
Compatible with Jackery Explorer 2000 Plus
Pioneering Solar Charging for Expandable Battery
Solar Charging in 2 Hours（SolarSaga 200 W X 6 Pcs ）
Intelligent BMS with 12 Layers of Protection

Warranty Extension: 3-year warranty + 2-year extended warranty (applied automatically if purchased from our official website)

"
Jackery Upgraded Carrying Case (L),https://www.jackery.com/products/carrying-case-bag-for-explorer-2000-pro,"
      Jackery Upgraded Carrying Case (L)
","Made for Explorer 2000 Pro/1500 Pro/1000 Plus portable power station. A practical travel carrying case for outdoor explorations. The durable handle and shoulder strap make the carrying case easy to transport for travel, camping, hiking or other outdoor applications.","

Dimension in 15.5 x 10.8 x 14.5 inch - Made for Explorer 2000 Pro/1500 Pro/1500/1000 Plus portable power station. A practical travel carrying case for outdoor explorations.
Made of 900D fabric material and padded with pearl cotton, the entire carrying case is able to protect power station effectively from being collided, providing long-lasting performance. Can carry the product weighs from 30kg to 35kg.
The durable handle makes the carrying case easy to transport for travel, camping, hiking or other outdoor applications.
The carrying bag protects power station in good condition from friction and moisture, allowing you to bring with anywhere, at any time.



"
Jackery Upgraded Carrying Case (M),https://www.jackery.com/products/jackery-carrying-case-bag-for-explorer-1000,"
      Jackery Upgraded Carrying Case (M)
","This Upgraded Carrying Case by Jackery is a compact & hardy one-hand bag, crafted for the Explorer 1000 v2 /1000 Plus /2000 v2 Portable Power Station. Practical & Protective.","

BUILT FOR THE EXPLORER 880/1000/1000 v2/1000 Plus/2000 v2: This compact and hardy one-hand bag is designed for the Jackery Explorer . With a large storage capacity (dimensions 14.17*11.22*11.61 in) this bag has enough space to store necessary accessories in addition to a power station.


PRACTICAL AND PROTECTIVE: Encased in polyester material, the case protects your power station from dust, scratches and moisture while embedded pearl cotton foam allows for the perfect fusion of interior cushioning and exterior safeguarding.

VERSATILE AND DURABLE: Crafted with soft and foldable materials, the Jackery bag ensures practicality and protection. 

SPLASH-RESISTANT: The bag is firmly zipper-sealed against splashes and light to moderate rain.


UP AND AWAY: Featuring durable double handles with adjustable straps, the bag keeps your Jackery Explorer all set for outdoor fun such as car camping, RV living, or road trips.

"
Jackery Upgraded Carrying Case (S),https://www.jackery.com/products/small-carrying-case-bag,"
      Jackery Upgraded Carrying Case (S)
","BUILT FOR THE EXPLORER 240/240 v2/300/300 Plus/500: With a large storage capacity (dimensions 12.2*8.1*11.0 in) this bag has enough space to store necessary accessories in addition to a power station. PRACTICAL AND PROTECTIVE: Encased in polyester material, the case protects your power station from dust, scratches and ","

BUILT FOR THE EXPLORER 240/240 v2/300/300 Plus/500: With a large storage capacity (dimensions 12.2*8.1*11.0 in) this bag has enough space to store necessary accessories in addition to a power station.


PRACTICAL AND PROTECTIVE: Encased in polyester material, the case protects your power station from dust, scratches and moisture while embedded pearl cotton foam allows for the perfect fusion of interior cushioning and exterior safeguarding.

VERSATILE AND DURABLE: Crafted with soft and foldable materials, the Jackery bag ensures practicality and protection.

SPLASH-RESISTANT: The bag is firmly zipper-sealed against splashes and light to moderate rain.


UP AND AWAY: Featuring durable double handles with adjustable straps, the bag keeps your Jackery Explorer all set for outdoor fun such as car camping, RV living, or road trips.

"
Jackery Solar Generator 1000 Plus Kit,https://www.jackery.com/products/jackery-solar-generator-1000-plus-kit,"
      Jackery Solar Generator 1000 Plus Kit
","With unparalleled output, the Jackery Solar Generator 1000 Plus is the top choice for similar-level portable power stations. Covering various scenarios, it provides support for camping, off-road travel, home emergencies, and more. Being versatile and expandable in capacity, it's the all-in-one solar generator to power your life.","
More Power in Smaller Size:  With a capacity of 1264Wh and a 2000W output, the 1000 Plus supports 99% of devices. 
Expandable Capacity: Supports up to 3 add-on battery packs, expanding up to 5kWh and ensuring 1-3 days of home backup power
Industry-leading Sustainability: Setting new standards for sustainability. It is the first in the industry to be verified by TÜV SÜD.
Long-lasting Reliability: LiFePO4 battery cells, lasting up to 10 years - providing 4,000 charge cycles.
Intelligent Control: With the advanced APP feature, via WiFi or Bluetooth.
Explorer 1000 Plus: 3-year warranty + 2-year extended warranty. Solar Saga 100W: 2-year warranty + 1-year extended warranty (automatically applied when purchased from our official website)

"
Jackery SolarSaga 100W Solar Panel  (Refurbished),https://www.jackery.com/products/jackery-solarsaga-100w-solar-panel-refurbished,"
      Jackery Flexible & Portable SolarSaga 100W
",SolarSaga 100W Solar Panel from Jackery is a foldable and portable Monocrystalline Solar Panel. Featured with USB and Anderson DC ports. Stay charged with the power of the sun!,"
High Solar Conversion Efficiency of 24.3%
Foldable & Portable
IP65 Waterproof Rating
Two USB Output Ports to Charge Directly
Adjustable Kickstands
Compact and Lightweight
Warranty Extension: 6-month warranty 
To connect the SolarSaga with different Explorer portable power stations or other extension functions, please check the accessories it requires.


Please note that multiple versions of the SolarSaga 100W (Refurbished) are available. Orders will be fulfilled with a randomly selected version.

"
Jackery Solar Generator 880 Pro (Refurbished),https://www.jackery.com/products/jackery-solar-generator-880-pro-refurbished,"
      Jackery Solar Generator 880 Pro (Refurbished)
","With unparalleled output, the Jackery Solar Generator 880 Pro is the top choice for similar-level portable power stations. Covering various scenarios, it provides support for camping, off-road travel, home emergencies, and more. Being versatile and expandable in capacity, it's the all-in-one solar generator to power your life.","
Mid-Capacity Powerhouse: Boasting an 880Wh capacity and delivering 1000W output (with a peak of 2000W), the 880 Pro ensures reliable power for all your needs.
Efficient Multi-Mode Charging: With multi-mode fast charging, including wall charging in just 2 hours, car charging in 5.3 hours and solar charging, staying powered up is quick and convenient.
Top-Tier Safety & Performance: Elevate your peace of mind with our self-developed BMS, UL-compliant design, and advanced thermal management system, providing unparalleled protection and efficiency with every charge.
100W Mini Solar Panel：Double-sided power generation boosts efficiency by 25%. IP68 waterproof rating. Unfolds in 30 seconds for instant outdoor power. The perfect choice for on-the-go charging.
Warranty Extension: 6 Months extended warranty
"
Jackery Solar Generator 3000 Pro,https://www.jackery.com/products/solar-generator-3000-pro,"
      Jackery Solar Generator 3000 Pro
",Large Capacity: 3024Wh that can power up to 99% of outdoor appliances Ultra Fast Charging: Fully solar charged in 3-4 hours and wall charged in 2.4 hours Portable Design: Pull rod and double wheels Easily Accessible: Smart App Control Cold Friendly: Functional in temperatures up to -20°C /-4°F Silent: Unique quiet canyon cooling system All-around Safety: Fully upgraded BMS Guaranteed Satisfaction: 5-Year long warranty,"

Get the all-new upgraded HomePower 3000 — Early-bird offer available now! Learn more !

Get up to $839.7 in Tax Credit. Click for information

Large Capacity: 3024Wh that can power up to 99% of outdoor appliances

Ultra Fast Charging: Fully solar charged in 3-4 hours and wall charged in 2.4 hours
Portable Design: Pull rod and double wheels
Easily Accessible: Smart App Control
Cold Friendly: Functional in temperatures down to -20°C / -4°F
Silent: Unique quiet canyon cooling system
All-around Safety: Fully upgraded BMS

Explorer 3000 Pro: 3-year warranty + 2-year extended warranty. Solar Saga 200W: 2-year warranty + 1-year extended warranty (automatically applied when purchased from our official website)


Use a transfer switch (Value $399.99) to create a whole-home backup solution. Power from any outlet, anywhere in the house, click here to learn more!


"
Jackery Explorer 1000 Portable Power Station (Refurbished),https://www.jackery.com/products/explorer-1000-portable-power-station-refurbished,"
      Jackery Explorer 1000 Portable Power Station (Refurbished) - Jackery
","Jackery Explorer 1000, 1002Wh & rating 1000W portable power station is Jackery's most popular Explorer, a solar generator with MPPT built-in and 3 AC outlets.","
Larger Capacity and Higher Wattages: It features a 1002Wh(46.4Ah) lithium battery capacity, 1000W continuous and 2000W surge power.
Multiple Output Ports: Two USB-C, two USB, one DC car port & three pure sine wave AC outlets. Go off-grid and power your cameras, computers, communication devices, CPAP, and electric grill.

Green Outdoor Power Solution: Efficient solar charging with a built-in MPPT charge controller.  

Portable and Compact: It weighs only 22lbs and has a solid handle for easy carrying.
Safe and Easy To Use: Features an LCD screen with charge/discharge data and battery life status for safety and ease of use.
Every Refurbished product completes a rigorous refurbishment process that includes full functional testing and is backed by a 6-month warranty.




 

"
Jackery Explorer 290 Portable Power Station (Refurbished),https://www.jackery.com/products/jackery-explorer-290-portable-power-station-refurbished-1,"
      Jackery Explorer 290 Portable Power Station (Refurbished)
","Jackery Explorer 290 refurbished portable power station will enhance your outdoor life. Compact, lightweight & 200 watt continuous output - camping has never been so easy.","
200-WATT Continuous Output, Compact, Easy to Carry: The Explorer 290 (Refurbished) has a good capacity, user-friendly design, small size, and durable handle, making it lightweight, stylish, and easy to carry.


Reliable Outdoor Companion: With its eco-friendly and quiet features, the Explorer 290 (Refurbished) is one of the best investments for your outdoor life. With the touch of a button, the Explorer 290 (Refurbished) supplies the power you need, where you need it without harmful fumes, unlike gas generators。


Better Than A Car Inverter: Running appliances like a car fridge requires the engine to be constantly running. The Explorer 290 (Refurbished) can keep your car fridge and other devices running while protecting your car's battery.


Built-in MPPT Controller: The built-in MPPT module constantly monitors your solar panels' voltage and current output, adding up to 23% more solar recharging efficiency.



"
Jackery Solar Generator 240 v2 (Refurbished),https://www.jackery.com/products/jackery-solar-generator-240-v2-refurbished,"
      Jackery Solar Generator 240 v2 (Refurbished)
","The Explorer 240 v2 Portable Power Station offers long-lasting performance with a durable LiFePO4 battery, fast one-hour charging, diverse USB-C ports, superior safety features, and an extended 5-year warranty for ultimate reliability.","
Long-lasting Performance: Engineered with durable LiFePO4 battery, boasting 10 years of battery life, the Explorer 240 v2 ensures reliable performance even after 3,000 charge cycles.
One-hour Fast Charging: Convenient, 1 hour fast charging, activated via App, allows a full charge of the Explorer 240 v2 Portable Power Station in 1 hour. It takes only 2 hours to recharge, from 0% to 100% using AC wall outlet.
Diverse Charging Ports: Equipped with 100W PD USB-C ports, the Explorer 240 v2 supports direct USB-C fast charging for a range of your electronic devices, without an extra power brick.
Superior Safety & Reliability: The UL certified power station, paired with TÜV SÜD verified solar panels, delivers exceptional shock resistance and fire protection, ensuring reliable operation in harsh conditions.
Ultra-lightweight Solar Panel: The 40W Solar Panel's four-fold design makes it easy to pack and carry, while still being lighter than a laptop. With a 23% solar conversion rate, it ensures you get the most power possible from the sun.
Warranty Extension: 6 Months warranty 
"
Jackery Explorer 240 v2 Portable Power Station (Refurbished),https://www.jackery.com/products/jackery-explorer-240-v2-portable-power-station-refurbished,"
      Jackery Explorer 240 v2 Portable Power Station (Refurbished)
","The Explorer 240 v2 Portable Power Station offers long-lasting performance with a durable LiFePO4 battery, fast one-hour charging, diverse USB-C ports, superior safety features, and an extended 5-year warranty for ultimate reliability.","
Long-lasting Performance: Engineered with durable LiFePO4 battery, boasting 10 years of battery life, the Explorer 240 v2 ensures reliable performance even after 3,000 charge cycles.
One-hour Fast Charging: Convenient, 1 hour fast charging, activated via App, allows a full charge of the Explorer 240 v2 Portable Power Station in 1 hour. It takes only 2 hours to recharge, from 0% to 100% using AC wall outlet.
Diverse Charging Ports: Equipped with 100W PD USB-C ports, the Explorer 240 v2 supports direct USB-C fast charging for a range of your electronic devices, without an extra power brick. 

Superior Safety & Reliability: The UL certified power station, paired with TÜV SÜD verified solar panels, delivers exceptional shock resistance and fire protection, ensuring reliable operation in harsh conditions. 

Warranty Extension: 6 Months warranty 

"
Jackery Solar Generator 300 Plus（Refurbished）,https://www.jackery.com/products/jackery-solar-generator-300-plus-refurbished,"
      Jackery Solar Generator 300 Plus（Refurbished）
","The cutest and most portable solar generator on the market. Weighing in at only 11 lbs, the Jackery Solar Generator 300 Plus boasts a large 288Wh capacity and strong 300W output. With iPad-sized panels and a power station that fits your backpack, you'll have infinite power for all your outdoor adventures.","
Power on the Go: Weighing only 11 lbs, it's convenient to set up and store with book-sized foldable solar panels
All-around Safety: Max safety featuring 52 protective mechanisms, 12 BMS algorithms, and 4 types of physical protection
Superior Reliability: FCC/CE, UL 94V-0 flame-retardant, Class 9 impact resistant, and UL certified for 300 Plus
Ultra-Fast Charging: Solar charged in only 4 hours
Smart App Control: Easy battery management via Wi-Fi or Bluetooth
6-months warranty 
"
